Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;180;80,68987609
Dune fynbos-thicket mos.;400;223
Dune fynbos-thicket mos.;300;170,2690454
Dune fynbos-thicket mos.;240;134,5286645
Dune fynbos-thicket mos.;180;95,71192749
Dune fynbos-thicket mos.;400;111
Dune fynbos-thicket mos.;300;84,75275356
Dune fynbos-thicket mos.;240;66,96269849
Dune fynbos-thicket mos.;180;47,64136301
Dune fynbos-thicket mos.;400;22
Dune fynbos-thicket mos.;300;16,79784305
Dune fynbos-thicket mos.;240;13,27188619
Dune fynbos-thicket mos.;180;9,442432308
Dune fynbos-thicket mos.;400;11
Dune fynbos-thicket mos.;300;8,398921524
Dune fynbos-thicket mos.;240;6,635943093
Dune fynbos-thicket mos.;180;4,721216154
Dune fynbos-thicket mos.;400;47
Dune fynbos-thicket mos.;300;35,88630106
Dune fynbos-thicket mos.;240;28,35357503
Dune fynbos-thicket mos.;180;20,17246902
Dune fynbos-thicket mos.;400;38
Dune fynbos-thicket mos.;300;29,01445617
Dune fynbos-thicket mos.;240;22,92416705
Dune fynbos-thicket mos.;180;16,30965581
Dune fynbos-thicket mos.;400;46
Dune fynbos-thicket mos.;300;35,12276274
Dune fynbos-thicket mos.;240;27,75030748
Dune fynbos-thicket mos.;180;19,74326755
Dune fynbos-thicket mos.;400;17
Dune fynbos-thicket mos.;300;12,98015145
Dune fynbos-thicket mos.;240;10,25554842
Dune fynbos-thicket mos.;180;7,296424966
Dune fynbos-thicket mos.;400;40
Dune fynbos-thicket mos.;300;30,54153281
Dune fynbos-thicket mos.;240;24,13070216
Dune fynbos-thicket mos.;180;17,16805874
Dune fynbos-thicket mos.;400;282
Dune fynbos-thicket mos.;300;215,3178063
Dune fynbos-thicket mos.;240;170,1214502
Dune fynbos-thicket mos.;180;121,0348141
Dune fynbos-thicket mos.;400;103
Dune fynbos-thicket mos.;300;78,64444699
Dune fynbos-thicket mos.;240;62,13655805
Dune fynbos-thicket mos.;180;44,20775126
Dune fynbos-thicket mos.;400;117
Dune fynbos-thicket mos.;300;89,33398348
Dune fynbos-thicket mos.;240;70,58230381
Dune fynbos-thicket mos.;180;50,21657182
Dune fynbos-thicket mos.;400;580
Dune fynbos-thicket mos.;300;442,8522258
Dune fynbos-thicket mos.;240;349,8951813
Dune fynbos-thicket mos.;180;248,9368518
Dune fynbos-thicket mos.;400;18
Dune fynbos-thicket mos.;300;13,74368977
Dune fynbos-thicket mos.;240;10,85881597
Dune fynbos-thicket mos.;180;7,725626434
Dune fynbos-thicket mos.;400;29
Dune fynbos-thicket mos.;300;22,14261129
Dune fynbos-thicket mos.;240;17,49475906
Dune fynbos-thicket mos.;180;12,44684259
Dune fynbos-thicket mos.;400;177
Dune fynbos-thicket mos.;300;135,1462827
Dune fynbos-thicket mos.;240;106,778357
Dune fynbos-thicket mos.;180;75,96865994
Dune fynbos-thicket mos.;400;76
Dune fynbos-thicket mos.;300;58,02891235
Dune fynbos-thicket mos.;240;45,8483341
Dune fynbos-thicket mos.;180;32,61931161
Dune fynbos-thicket mos.;400;13
Dune fynbos-thicket mos.;300;9,925998164
Dune fynbos-thicket mos.;240;7,842478201
Dune fynbos-thicket mos.;180;5,579619091
Dune fynbos-thicket mos.;400;383
Dune fynbos-thicket mos.;300;292,4351767
Dune fynbos-thicket mos.;240;231,0514732
Dune fynbos-thicket mos.;180;164,3841625
Dune fynbos-thicket mos.;400;27
Dune fynbos-thicket mos.;300;20,61553465
Dune fynbos-thicket mos.;240;16,28822396
Dune fynbos-thicket mos.;180;11,58843965
Dune fynbos-thicket mos.;400;37
Dune fynbos-thicket mos.;300;28,25091785
Dune fynbos-thicket mos.;240;22,3208995
Dune fynbos-thicket mos.;180;15,88045434
Dune fynbos-thicket mos.;400;73
Dune fynbos-thicket mos.;300;55,73829738
Dune fynbos-thicket mos.;240;44,03853144
Dune fynbos-thicket mos.;180;31,33170721
Dune fynbos-thicket mos.;400;104
Dune fynbos-thicket mos.;300;79,40798531
Dune fynbos-thicket mos.;240;62,73982561
Dune fynbos-thicket mos.;180;44,63695273
Dune fynbos-thicket mos.;400;202
Dune fynbos-thicket mos.;300;154,2347407
Dune fynbos-thicket mos.;240;121,8600459
Dune fynbos-thicket mos.;180;86,69869665
Dune fynbos-thicket mos.;400;34
Dune fynbos-thicket mos.;300;25,96030289
Dune fynbos-thicket mos.;240;20,51109683
Dune fynbos-thicket mos.;180;14,59284993
Dune fynbos-thicket mos.;400;11
Dune fynbos-thicket mos.;300;8,398921524
Dune fynbos-thicket mos.;240;6,635943093
Dune fynbos-thicket mos.;180;4,721216154
Dune fynbos-thicket mos.;400;41
Dune fynbos-thicket mos.;300;31,30507113
Dune fynbos-thicket mos.;240;24,73396971
Dune fynbos-thicket mos.;180;17,59726021
Dune fynbos-thicket mos.;400;92
Dune fynbos-thicket mos.;300;70,24552547
Dune fynbos-thicket mos.;240;55,50061496
Dune fynbos-thicket mos.;180;39,48653511
Dune fynbos-thicket mos.;400;766
Dune fynbos-thicket mos.;300;584,8703534
Dune fynbos-thicket mos.;240;462,1029463
Dune fynbos-thicket mos.;180;328,7683249
Dune fynbos-thicket mos.;400;13
Dune fynbos-thicket mos.;300;9,925998164
Dune fynbos-thicket mos.;240;7,842478201
Dune fynbos-thicket mos.;180;5,579619091
Dune fynbos-thicket mos.;400;1422
Dune fynbos-thicket mos.;300;1085,751492
Dune fynbos-thicket mos.;240;857,8464617
Dune fynbos-thicket mos.;180;610,3244883
Dune fynbos-thicket mos.;400;238
Dune fynbos-thicket mos.;300;181,7221202
Dune fynbos-thicket mos.;240;143,5776778
Dune fynbos-thicket mos.;180;102,1499495
Dune fynbos-thicket mos.;400;146
Dune fynbos-thicket mos.;300;111,4765948
Dune fynbos-thicket mos.;240;88,07706287
